filename,title,sender,decision,probability,summary
FY25Lab-Blood_SOW (2).docx,FY25Lab-Blood_SOW (2),FY25,Approved,0.5218151410420735,"1	Background and Purpose
The State is issuing this solicitation for the purposes of obtaining blood transfusion services (the Department will administer the blood) and requested laboratory services when the Department’s Clinical Laboratory is not in operation and/or does not perform the requested lab test The Department’s Clinical Laboratory is in operation Monday-Friday from 6:00 AM to 3:30 PM, excluding State holidays However, services may be required at any time 24 hours a day, seven days a week, including during the hours in which the Clinical Laboratory is closed Monday through Friday from 3:30 PM until 6:00AM, weekends and state holidays."
052125 WMCHealth_Reference Lab Supplies_CSI (1).xlsx,052125 WMCHealth_Reference Lab Supplies_CSI (1),Westchester medical center,Approved,0.5506867706044616,"Sheet: Cost Savings Initiative
From: | WMCHealth
Subject: | Cost Savings Initiative
Category: | Reference Lab
Instructions: | Please review the information below for CSI logistics
Cost Savings Initiative
WMCHealth is requesting competitive sealed pricing proposals for Reference Lab The initial term will be three (3) years with an option for mutual renewal on an annual basis for up to two (2) additional one-year terms, subject to appropriation and availability of funds, satisfactory performance of services by provider, and if deemed to be in the best interest of WMC This Cost Savings Initiative (CSI) outlines the requirements, as well as requested terms and conditions, quality performance measures, the service specifications, and other pertinent information."
RFP Bad Example.pdf,RFP Bad Example,bad example,Denied,0.5389577200962145,"Sources Sought Notic e 
*= Required Field  Sources Sought Notice  
 
Page 1 of 10  
SUBJECT*  HCHT Pulmonary Function Testing System     
 
GENERAL INFORMATION  
CONTRACTING OFFICE’S ZIP CODE*  25405  
SOLICITATION NUMBER*  36C24525Q0711  
RESPONSE DATE/TIME/ZONE  07-28-2025  12:00pm  EASTERN TIME, NEW 
YORK, USA  
ARCHIVE  10 DAYS  AFTER  THE RESPONSE  DATE  
RECOVERY ACT FUNDS  N 
SET-ASIDE   
PRODUCT SERVICE CODE*  6515  
NAICS CODE*  339112  
CONTRACTING OFFICE ADDRESS  Department  of Veterans  Affairs   
VAMC  (613)   
VISN  5 Contract  Satellite  Office   
510 Butler  Avenue,  Building  306A  
Martinsburg  WV  25405   
 
POINT OF CONTACT*  
 
 CO  
Joseph  J gov  
 
  
 
PLACE OF PERFORMANCE  
ADDRESS  Washington DC VA Medical Center (688)  
  
  
 50 Irving Street NW  
 Washington  DC 
POSTAL CODE  24022  
COUNTRY  USA  
 
ADDITIONAL INFORMATION  
AGENCY’S URL  https://www gov  
EMAIL DESCRIPTION  VA Home Page  
  Sources Sought Notic e 
 Sources Sought Notice  
 
Page 2 of 10 DESCRIPTION  
The VA Medical Center  is conducting this Sources Sought to identify contractors who possess 
capabilities to provide the product described in the specification below."
New York City Health + Hospitals Standard Terms & Conditions.pdf,New York City Health + Hospitals Standard Terms & Conditions,NYC  HHS,Approved,0.4993230856606263,"Form 110 -96 
 
Page 1 of 22 
 
New York City Health and Hospitals Corporation’s  
Standard Terms and Conditions  
 
These terms and conditions (“Terms and Conditions”) are entered into by and between New York City 
Health and Hospitals Corporation, located at 50 Water Street, 17th Floor, New York, New York 10004, 
(“NYC Health + Hospitals”) and [@@@@], located at ADDRESS (“Vendor”), each individually referred to 
as a party (“Party”) and collectively referred to as the parties (“Parties”) These Terms and Conditions shall 
be effectiv e upon DATE (“Effective Date”) Definitions  
 
Agreement:  the agreement between the Parties that consists of these Terms and Conditions, and any 
other documents relating to the subject matter hereof (“Incorporated Documents”), including NYC Health 
+ Hospita ls’ solicitation document (such as an RFP or Bid), Vendor’s response to such solicitation, Vendor’s 
quote or proposal, Vendor’s terms and conditions, terms and conditions relating to an applicable group 
purchasing organization or a governmental contract, V endor’s invoice, as well as other schedules and/or 
exhibits that may be included."
II. Contract Details.docx,AHS - II. Contract Details.docx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
III. Scope of Services.docx,AHS - III. Scope of Services.docx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
IV. Supplier Information.docx,AHS - IV. Supplier Information.docx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
V. Service Pricing.docx,AHS - V. Service Pricing.docx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
20250411_AHS_Reflab_PricingWorksheet_Final.xlsx,AHS - 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx,AHS - 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx,Atlanta Health Services,Approved,0.5368426830529547,"RFP Project: AHS

Contains 9 files:
📄 II. Contract Details.docx: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP.
📄 III. Scope of Services.docx: RFP Re-Bid Status (required)
This RFP is a ""re-bid"" of AHS' original RFP, that ran between January 3, 2024 - February 29, 2024.
📄 IV. Supplier Information.docx: Legal Name & Address (required)
State the full legal name and principal address of your organization:
/ 500
2.
📄 V. Service Pricing.docx: Service Pricing
A 180 Day Firm Quote (required)
I affirm that all prices, discounts and tiers quoted within this bid will be held firm for no less than one hundred eighty (180) days.
📄 20250411_AHS_Reflab_PricingWorksheet_Final.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 20250416_AHS_Reflab_PricingWorksheet_Final-UpdatedwithVendorTestCodes.xlsx: Sheet: Pricing - Main Tests
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Pricing - Main Tests
Instructions: Current utilization is from the past 12 months.
📄 AHSReferenceLabRFP-LocationsinScope.xlsx: Sheet: Sheet1
Atlantic Health System (AHS) | Estimated Annual Total | 0
Laboratory - Reference Lab Testing Services
Locations in Scope
Location Name | Location Address
#
1 | Atlantic Consolidated Labs (ACL) | 299 Madison Avenue, Morristown, NJ 07960
2 | Overlook Medical Center | 99 Beauvoir Ave, Summit, NJ 07901
3 | Chilton Medical Center | 97 West Parkway, Pompton Plains, NJ 07444
4 | CentraState Medical Center | 901 West Main Street Freehold, NJ 07728
5 | Newton Medical Center | 175 High St, Newton, NJ 07860
6 | Hackettstown Medical Center | 651 Willow Grove St, Hackettstown, NJ 07840
7 | Morristown Medical Center | 100 Madison Ave, Morristown, NJ 07960
8 | Sparta Health and Wellness | 89 S Sparta Ave, Sparta, NJ 07871
9 | Milford Health and Wellness | 111 East Catharine St, Milford, PA 18337
10 | Morristown Medical Center Outpatient Medicine | 435 South St, Morristown, NJ 07960
11 | Atlantic Health System Clark – North Pavilion | 140 Central Ave, Clark, NJ 07066
12 | 111 Madisone Ave – Morristown | 111 Madison Avenue, Morristown, NJ 07960
13 | 1973 Washington Valley Road - Martinsville | 1973 Washington Valley Rd, Martinsville, NJ 08836
14 | Atlantic Health Specialty Care (Patriot Plaza) | 57 US-46 #207, Hackettstown, NJ 07840
15 | Atlantic Health Children’s Specialty Center | 55 Madison Ave, Morristown, NJ 07960
16 | 741 Northfield Avenue – West Orange | 741 Northfield Ave, West Orange, NJ 07052
17 | 90 U.
📄 Atlantic Health System Clinical Reference Lab RFP (002).xlsx: Sheet: Sheet1
Title | Term | Negotiation Point | Required | Response Type
OVERVIEW | N | N
Use / Training for RFP Platform | N | N
Conductiv RFP Platform Training | Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.
📄 I. Overview.docx: Conductiv RFP Platform Training
Conductiv Training Information: To ensure you are comfortable placing your RFP response on the Conductiv Platform, training is available through https://conductiv.

Overall Summary: Sample Service Agreement (required)
Please upload a sample service agreement/template for clinical reference lab services to the 'Documents' tab of this RFP Contract Term (required)
The term of the contract shall be 3 years with successive one-year options to renew, upon mutual consent of both parties Price Protection (required)
All prices submitted should be fixed for the contract duration, including any and all contract extensions."
